createur,voie,commanditaire,page_annonceuse,debut_diffusion,plateformes,ad_id,extrait,url_apercu
@socopa_officiel,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2026-02-25,instagram,1701017877550178,"Il y a des débats qui ne finiront jamais 🍽️  Devant un faux-filet bien grillé et sa sauce, deux camps s’affrontent : 👉 ceux qui saucent jusqu’à la dernière goutte 👉 ceux qui préfèrent savourer sans toucher à la sauce  Et vous, vous êtes clairement dans quelle team ? 🥩😏 Socopa (@socopa_officiel) • In",https://www.facebook.com/ads/archive/render_ad/?id=1701017877550178&access_token=JETON_RETIRE
@socopa_officiel,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2026-02-12,instagram,1865299864109712, Socopa (@socopa_officiel) • Instagram photos and videos | Socopa (@socopa_officiel) • Instagram photos and videos | Socopa (@socopa_officiel) • Instagram photos and videos | Socopa (@socopa_officiel) • Instagram photos and videos | Socopa (@socopa_officiel) • Instagram photos and videos | Socopa (@,https://www.facebook.com/ads/archive/render_ad/?id=1865299864109712&access_token=JETON_RETIRE
@socopalesmordusdelaviande,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-12-18,instagram,1531360554789089,"Tarte rustique poireaux & saucisses 🍴  Les tartes rustiques, une super façon de se régaler sainement 😋 Je vous en propose une nouvelle version réalisée avec les généreuses saucisses bacon et fromage @socopalesmordusdelaviande que j'ai associé aux poireaux 😉  Une tarte gourmande et équilibrée que je ",https://www.facebook.com/ads/archive/render_ad/?id=1531360554789089&access_token=JETON_RETIRE
l'huile,vocabulaire de collaboration,Socopa (Bigard),Socopa,2025-12-18,instagram,1531360554789089,"Tarte rustique poireaux & saucisses 🍴  Les tartes rustiques, une super façon de se régaler sainement 😋 Je vous en propose une nouvelle version réalisée avec les généreuses saucisses bacon et fromage @socopalesmordusdelaviande que j'ai associé aux poireaux 😉  Une tarte gourmande et équilibrée que je ",https://www.facebook.com/ads/archive/render_ad/?id=1531360554789089&access_token=JETON_RETIRE
@socopalesmordusdelaviande,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-11-05,instagram,1595174498595734,Burger gourmand chèvre miel oignons!  On s’est régalé!  Publicité @socopalesmordusdelaviande   - Pain brioché  - Haché burger du chef @socopalesmordusdelaviande  - Chèvre  - Miel - Poitrine fumée  - Herbes de Provence  - 1 Oignon rouge - Sel   Preparation :  Faire griler la poitrine fumée dans une p,https://www.facebook.com/ads/archive/render_ad/?id=1595174498595734&access_token=JETON_RETIRE
@socopalesmordusdelaviande,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-29,facebook | instagram | audience_network | messenger,779129838069293,"Pavés de rumsteck aux 3 poivres, sauce moutarde & aubergines rôties 🐂 CONCOURS TERMINÉ  Je vous propose aujourd'hui de vous faire plaisir avec un bon morceau de rumsteck aux 3 poivres @socopalesmordusdelaviande accompagné d'une sauce moutarde maison et d'aubergines rôties🍆, un repas équilibré parfai",https://www.facebook.com/ads/archive/render_ad/?id=779129838069293&access_token=JETON_RETIRE
@lolotambouille,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-29,facebook | instagram | audience_network | messenger,779129838069293,"Pavés de rumsteck aux 3 poivres, sauce moutarde & aubergines rôties 🐂 CONCOURS TERMINÉ  Je vous propose aujourd'hui de vous faire plaisir avec un bon morceau de rumsteck aux 3 poivres @socopalesmordusdelaviande accompagné d'une sauce moutarde maison et d'aubergines rôties🍆, un repas équilibré parfai",https://www.facebook.com/ads/archive/render_ad/?id=779129838069293&access_token=JETON_RETIRE
@socopalesmordusdelaviande,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-18,facebook | instagram | audience_network | messenger,1525010152191285,"JEU CONCOURS - Burger gourmand aux champignons, viande de grison et brie. Publicité @socopalesmordusdelaviande  Concours terminé gagnants @alinedemolder @virginie_dub46 @sabrina.aime.trop.le.chocolat   À la fin de ce post, je vous partage un jeu concours pour tenter de gagner une carte cadeau Illika",https://www.facebook.com/ads/archive/render_ad/?id=1525010152191285&access_token=JETON_RETIRE
@alinedemolder,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-18,facebook | instagram | audience_network | messenger,1525010152191285,"JEU CONCOURS - Burger gourmand aux champignons, viande de grison et brie. Publicité @socopalesmordusdelaviande  Concours terminé gagnants @alinedemolder @virginie_dub46 @sabrina.aime.trop.le.chocolat   À la fin de ce post, je vous partage un jeu concours pour tenter de gagner une carte cadeau Illika",https://www.facebook.com/ads/archive/render_ad/?id=1525010152191285&access_token=JETON_RETIRE
@virginie_dub46,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-18,facebook | instagram | audience_network | messenger,1525010152191285,"JEU CONCOURS - Burger gourmand aux champignons, viande de grison et brie. Publicité @socopalesmordusdelaviande  Concours terminé gagnants @alinedemolder @virginie_dub46 @sabrina.aime.trop.le.chocolat   À la fin de ce post, je vous partage un jeu concours pour tenter de gagner une carte cadeau Illika",https://www.facebook.com/ads/archive/render_ad/?id=1525010152191285&access_token=JETON_RETIRE
@sabrina.aime.trop.le.chocolat,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-18,facebook | instagram | audience_network | messenger,1525010152191285,"JEU CONCOURS - Burger gourmand aux champignons, viande de grison et brie. Publicité @socopalesmordusdelaviande  Concours terminé gagnants @alinedemolder @virginie_dub46 @sabrina.aime.trop.le.chocolat   À la fin de ce post, je vous partage un jeu concours pour tenter de gagner une carte cadeau Illika",https://www.facebook.com/ads/archive/render_ad/?id=1525010152191285&access_token=JETON_RETIRE
@socopale,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-18,facebook | instagram | audience_network | messenger,1525010152191285,"JEU CONCOURS - Burger gourmand aux champignons, viande de grison et brie. Publicité @socopalesmordusdelaviande  Concours terminé gagnants @alinedemolder @virginie_dub46 @sabrina.aime.trop.le.chocolat   À la fin de ce post, je vous partage un jeu concours pour tenter de gagner une carte cadeau Illika",https://www.facebook.com/ads/archive/render_ad/?id=1525010152191285&access_token=JETON_RETIRE
Virginie,compte connu du registre,Socopa (Bigard),Socopa,2025-09-18,facebook | instagram | audience_network | messenger,1525010152191285,"JEU CONCOURS - Burger gourmand aux champignons, viande de grison et brie. Publicité @socopalesmordusdelaviande  Concours terminé gagnants @alinedemolder @virginie_dub46 @sabrina.aime.trop.le.chocolat   À la fin de ce post, je vous partage un jeu concours pour tenter de gagner une carte cadeau Illika",https://www.facebook.com/ads/archive/render_ad/?id=1525010152191285&access_token=JETON_RETIRE
@socopalesmordusdelaviande,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-09-18,facebook | instagram | audience_network | messenger,1127646572652175,"🎁 😋 JEU CONCOURS ET RECETTE   A la recherche d'un repas gourmand, rapide et facile ? Prenez un bon morceau de rumsteck aux 3 poivres accompagné d'une sauce moutarde maison et d'aubergines rôties🍆, et le tour est joué !  Cliquez dans le lien en commentaire pour découvrir le détail de la recette.  JEU",https://www.facebook.com/ads/archive/render_ad/?id=1127646572652175&access_token=JETON_RETIRE
@socopalesmordusdelaviande,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-08-12,instagram,1336867861192737,"Accompagnement parfait pour vos grillades ! Publicité   Pour notre repas on a opté pour de délicieuses brochettes extra tendre de bœuf @socopalesmordusdelaviande , des smashed potatoes à la plancha, une salade de tomates burrata et une bonne sauce au yaourt.   Sauce au yaourt : mélanger deux yaourts",https://www.facebook.com/ads/archive/render_ad/?id=1336867861192737&access_token=JETON_RETIRE
@socopalesmordusdelaviande,pseudo ecrit tel quel,Socopa (Bigard),Socopa,2025-08-12,facebook | instagram | messenger,1983405869159509,"Accompagnement parfait pour vos grillades ! Publicité   Pour notre repas on a opté pour de délicieuses brochettes extra tendre de bœuf @socopalesmordusdelaviande , des smashed potatoes à la plancha, une salade de tomates burrata et une bonne sauce au yaourt.   Sauce au yaourt : mélanger deux yaourts",https://www.facebook.com/ads/archive/render_ad/?id=1983405869159509&access_token=JETON_RETIRE
garage,vocabulaire de collaboration,Socopa (Bigard),Maisons Socopa,2025-10-23,facebook | instagram,24814226434914417, Maison T5 de 120 m² | Avec garage et jardin | Pièce de vie de 50 m² | Exemple d'aménagement | Ils nous font confiance,https://www.facebook.com/ads/archive/render_ad/?id=24814226434914417&access_token=JETON_RETIRE
fortes,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-08-24,instagram,1516779243469375,"Prêts pour l'assaut gourmand ? 🪖 On sort l'artillerie lourde : nos saucisses de veau Tendriade ultra-tendres pour accompagner vos pommes de terre grenades préférées.   Par fortes chaleurs, évitez la surchauffe du barbecue et optez plutôt pour la plancha ! ☀️   Et vous, vous les mangez avec quoi, les",https://www.facebook.com/ads/archive/render_ad/?id=1516779243469375&access_token=JETON_RETIRE
fortes,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-08-22,facebook,1400043722067960,"Prêts pour l'assaut gourmand ? 🪖 On sort l'artillerie lourde : nos saucisses de veau Tendriade ultra-tendres pour accompagner vos pommes de terre grenades préférées. Par fortes chaleurs, évitez la surchauffe du barbecue et optez plutôt pour la plancha ! ☀️  Et vous, vous les mangez avec quoi, les sa",https://www.facebook.com/ads/archive/render_ad/?id=1400043722067960&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-08-11,facebook | instagram | threads,889349683896150,"☀️ JEU CONCOURS ☀️ Cet été, place aux bons moments autour de la table ! 🌿🍴 Pour célébrer la saison, nous vous offrons la chance de remporter une box découverte gourmande de quoi vous régaler et faire de belles découvertes culinaires 😋.  POUR PARTICIPER, C'EST TRÈS SIMPLE : 1️⃣ Abonnez-vous à notre c",https://www.facebook.com/ads/archive/render_ad/?id=889349683896150&access_token=JETON_RETIRE
filtre,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-07-03,facebook | instagram,1591488742564226,"En 2016, on jouait au Bottle Flip Challenge, on postait des selfies avec filtre et… on se régalait déjà d'une bonne blanquette de veau, peut-être en famille 🤍  Les tendances passent. La blanquette de veau, elle, ne se démode jamais. 😌  Quel souvenir gardez-vous de ce plat en 2016 ? Dites-le-nous en ",https://www.facebook.com/ads/archive/render_ad/?id=1591488742564226&access_token=JETON_RETIRE
filtre,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-07-03,facebook | instagram,2190008755111514,"En 2016, on jouait au Bottle Flip Challenge, on postait des selfies avec filtre et… on se régalait déjà d'une bonne blanquette de veau, peut-être en famille 🤍  Les tendances passent. La blanquette de veau, elle, ne se démode jamais. 😌  Quel souvenir gardez-vous de ce plat en 2016 ? Dites-le-nous en ",https://www.facebook.com/ads/archive/render_ad/?id=2190008755111514&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-05-28,instagram,955169767286421,"On ne choisit pas toujours le rythme de sa journée ! Mais le soir, on choisit de se faire plaisir avec Tendriade !  🙌 Et chez vous, qu’est-ce qui mijote ? Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos",https://www.facebook.com/ads/archive/render_ad/?id=955169767286421&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-05-22,instagram,4051401288497140,"Marre des journées à rallonge ? Ça tombe bien, il vous faut entre 1 à 6 min à feu doux par côté pour que notre moelleux au veau soit cuit !  Alors prêt pour un plat 0 prise de tête, 100 % réconfort ? 🔥 Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos",https://www.facebook.com/ads/archive/render_ad/?id=4051401288497140&access_token=JETON_RETIRE
côté,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-05-22,instagram,4051401288497140,"Marre des journées à rallonge ? Ça tombe bien, il vous faut entre 1 à 6 min à feu doux par côté pour que notre moelleux au veau soit cuit !  Alors prêt pour un plat 0 prise de tête, 100 % réconfort ? 🔥 Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos",https://www.facebook.com/ads/archive/render_ad/?id=4051401288497140&access_token=JETON_RETIRE
côté,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-05-22,facebook,1316313690624563,"Marre des journées à rallonge ? Ça tombe bien, il vous faut entre 1 à 6 min à feu doux par côté pour que notre moelleux au veau soit cuit !  Alors prêt pour un plat 0 prise de tête, 100 % réconfort ? 🔥 ",https://www.facebook.com/ads/archive/render_ad/?id=1316313690624563&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-05-20,instagram,1001116039015973, Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos,https://www.facebook.com/ads/archive/render_ad/?id=1001116039015973&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-05-14,instagram,2559955517808750,"La star du potager 🫛 passe en mode purée !  L’association parfaite pour nous, c’est :  la fraîcheur du petit pois + la finesse de la viande de veau !   Combien sur 10 pour cette recette qui sent bon le printemps ? Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos",https://www.facebook.com/ads/archive/render_ad/?id=2559955517808750&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-03-27,instagram,898037016564178, Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos,https://www.facebook.com/ads/archive/render_ad/?id=898037016564178&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-03-11,instagram,809121052203516,"😋 Un dîner crémeux, réconfortant et sans prise de tête en moins de 30 minutes, ça vous dit ?   La recette pour deux 👇  Il vous faudra :  - 1 pack de boulettes au veau @tendriade.officiel  - 1 c. à café d’huile d’olive - 1 oignon - 4 gousses d’ail - 1 cube de bouillon de légumes - 500 ml d’eau bouill",https://www.facebook.com/ads/archive/render_ad/?id=809121052203516&access_token=JETON_RETIRE
temps,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-02-16,instagram,1421714173020982,"❤️ Pour votre dîner en duo, vous êtes plutôt :  A) Repas de dernière minute B) J’ai déjà tout organisé  On a classé les recettes par temps de préparation sur notre site (lien en bio)  Joyeuse Saint-Valentin et surtout bon appétit❤️  #foodlovers #saintvalentin #dineradeux #tendriade #recettes Nos rec",https://www.facebook.com/ads/archive/render_ad/?id=1421714173020982&access_token=JETON_RETIRE
temps,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2026-02-09,facebook,2136877397141911,"❤️ Pour votre dîner en duo, vous êtes plutôt :  A) Repas de dernière minute B) J’ai déjà tout organisé  On a classé les recettes par temps de préparation ici 👉 https://www.tendriade.fr/nos-recettes/ Nos recettes - Tendriade - Le veau pour savourer chaque instant de partage",https://www.facebook.com/ads/archive/render_ad/?id=2136877397141911&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-02-04,instagram,1561360221783992,"Chez @tendriade.officiel, on part du principe que la vraie cuisine, ce sont des recettes que l'on se transmet entre amis, en famille, ou de génération en génération. Cuisiner fait partie des gestes essentiels de la transmission : apprendre en regardant, en touchant, en reproduisant. 👥 Et vous, quell",https://www.facebook.com/ads/archive/render_ad/?id=1561360221783992&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-01-26,instagram,2239641609779824,🤩 Profitez d'avantages exclusifs avec @tendriade.officiel grâce à la carte de fidélité ! Par ici pour rejoindre notre programme et faire le plein de récompenses 👉 lien en bio   #fidelité #recompense #course #tendriade Tendriade - Le veau pour savourer chaque instant de partage,https://www.facebook.com/ads/archive/render_ad/?id=2239641609779824&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-01-12,instagram,1207629730917571,"😉 Quelles sont vos résolutions en cuisine ?   @tendriade.officiel vous partage ses tips pour varier ses repas (et toujours se régaler) !   1. Changez les assaisonnements 🌱  Utilisez des herbes fraîches, des épices ou des zestes d’agrumes différents (cumin, paprika, curry, thym, basilic, gingembre…).",https://www.facebook.com/ads/archive/render_ad/?id=1207629730917571&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2026-01-05,instagram,1204659554925053,⏱️ 15 min TOP CHRONO !  Colette est de retour dans sa cuisine pour une recette express 👉 la soupe de nouilles au haché de veau @tendriade.officiel ! C’est sa famille qui va se régaler (et vous aussi ➡️ RDV en commentaire) !   #astuce #astucedegrandmere #recette #cuisine #tendriade #soupedenouilles ,https://www.facebook.com/ads/archive/render_ad/?id=1204659554925053&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-12-29,instagram,2024525055066169,"Quand vous êtes trop fiers de votre recette ! La vraie star ici, c'est le rôti de veau farci aux pommes et pruneaux ! Et vous, quelle recette maîtrisez-vous comme un chef 🧑‍🍳 ?   Ingrédients (4 personnes) :  - 1 rôti de veau farci @tendriade.officiel  - 2 pommes - 2 oignons - 1 dizaine de pruneaux d",https://www.facebook.com/ads/archive/render_ad/?id=2024525055066169&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-12-24,instagram,1414964156763213,Toute l’équipe @tendriade.officiel vous souhaite de très belles fêtes de fin d’année ✨ Un petit aperçu de nos recettes préférées & nos meilleurs moments pour célébrer Noël… entre gourmandise et bonheur garantis ! ❤️  #recettes #tendriade #gourmandise #noel #reveillon #encuisine #atable #yummy ,https://www.facebook.com/ads/archive/render_ad/?id=1414964156763213&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-12-16,instagram,845846441414283,"Ne cherchez plus, il semblerait que @tendriade.officiel ait la solution pour vos repas de fin d’année 😋  Les ingrédients (pour 4 personnes) :  - 1 rôti de veau Tendriade - 25 cl de bouillon de volaille - 1 oignon blanc - 4 c. à soupe de miel - 3 grosses oranges - 1 noisette de beurre - 3 panais - 50",https://www.facebook.com/ads/archive/render_ad/?id=845846441414283&access_token=JETON_RETIRE
yummyfood 🦋,compte connu du registre,Tendriade (Bigard / Van Drie),Tendriade,2025-12-08,instagram,25505747879058176,Spoiler : on n’en a trouvé aucune 😅  #tendriade #viande #viandedeveau #tendrete #delice #yummy #foodlovers ,https://www.facebook.com/ads/archive/render_ad/?id=25505747879058176&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-12-01,instagram,1858534878366126, Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Insta,https://www.facebook.com/ads/archive/render_ad/?id=1858534878366126&access_token=JETON_RETIRE
elle,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2025-12-01,facebook,1209603497683288,"LA notif de décembre est arrivée ! Avec elle, son panier de saison plus que garni ! Et vous, quels sont vos fruits 🍊 & légumes 🍄‍🟫 préférés du mois ? ",https://www.facebook.com/ads/archive/render_ad/?id=1209603497683288&access_token=JETON_RETIRE
personne,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2025-11-24,instagram,816222864917896,👀 Il paraît que les repas de fêtes approchent à grands pas ...  🤤 Et nous avons de quoi vous faire patienter tout en gourmandise avec le Carré de veau au pain d'épice et ses poires pochées 🍐 !   Les ingrédients (pour 7 personnes) :  - 1 carré de veau Tendriade  - 1 poire par personne  - 2 verres de ,https://www.facebook.com/ads/archive/render_ad/?id=816222864917896&access_token=JETON_RETIRE
personne,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2025-11-24,facebook,25882844414632269,👀 Il paraît que les repas de fêtes approchent à grands pas ...  🤤 Et nous avons de quoi vous faire patienter tout en gourmandise avec le Carré de veau au pain d'épice et ses poires pochées 🍐 !   Les ingrédients (pour 7 personnes) :  - 1 carré de veau Tendriade  - 1 poire par personne  - 2 verres de ,https://www.facebook.com/ads/archive/render_ad/?id=25882844414632269&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-11-12,instagram,883510137343665,"👀 Votre légume préféré de la saison, c'est ________________ !  Ici, on fond pour la douceur du potimarron, et on craque pour la gourmandise de la paupiette à poêler @tendriade.officiel ! 🤤  RDV en commentaire pour retrouver les étapes de préparation !   #recette #potimarron #cuisine #tendriade #paup",https://www.facebook.com/ads/archive/render_ad/?id=883510137343665&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-11-06,instagram,840571855000995,"Voyager en Argentine sans quitter la table n'a jamais été aussi simple 😉 !  ✈️ Prêts pour le décollage avec @tendriade.officiel ?   Cette recette vous fait de l'œil, alors suivez les étapes de préparation juste ici 👇  Les ingrédients (pour 4 personnes) :  - 2 barquettes de moelleux au veau à cuisine",https://www.facebook.com/ads/archive/render_ad/?id=840571855000995&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-10-23,instagram,1137053538603665,"🤌 Envie de surprendre vos invités avec une touche d’originalité automnale ? @tendriade.officiel  vous propose un plat de saison qui revisite les classiques 👉 les involtinis de veau ! De fines escalopes de veau roulées avec une farce savoureuse aux champignons et bacon, accompagnées de patates douces",https://www.facebook.com/ads/archive/render_ad/?id=1137053538603665&access_token=JETON_RETIRE
yummyfood 🦋,compte connu du registre,Tendriade (Bigard / Van Drie),Tendriade,2025-10-23,instagram,1137053538603665,"🤌 Envie de surprendre vos invités avec une touche d’originalité automnale ? @tendriade.officiel  vous propose un plat de saison qui revisite les classiques 👉 les involtinis de veau ! De fines escalopes de veau roulées avec une farce savoureuse aux champignons et bacon, accompagnées de patates douces",https://www.facebook.com/ads/archive/render_ad/?id=1137053538603665&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-10-22,instagram,2208195639708872,"💛 La cuisine faite avec amour, c’est celle qui réunit tout le monde autour de la table ! Et quand elle est pleine de goût, facile et rapide à préparer, c’est encore mieux ! Aujourd’hui, @tendriade.officiel vous propose une recette réconfortante qui plaira à coup sûr aux petits comme aux grands 👉 Le ",https://www.facebook.com/ads/archive/render_ad/?id=2208195639708872&access_token=JETON_RETIRE
@alexandre_marchon,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-10-14,instagram,1709077486385980,"Aujourd'hui, le chef @alexandre_marchon relève le défi lancé par @tendriade.officiel : créer une recette gourmande et équilibrée avec le haché de veau à cuisiner Tendriade ! 🔥👨‍🍳✨  Au menu : Courgettes farcies au haché de veau, anchois, olives de Kalamata et parmesan !   Par ici la recette 👇  Les in",https://www.facebook.com/ads/archive/render_ad/?id=1709077486385980&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-10-14,instagram,1709077486385980,"Aujourd'hui, le chef @alexandre_marchon relève le défi lancé par @tendriade.officiel : créer une recette gourmande et équilibrée avec le haché de veau à cuisiner Tendriade ! 🔥👨‍🍳✨  Au menu : Courgettes farcies au haché de veau, anchois, olives de Kalamata et parmesan !   Par ici la recette 👇  Les in",https://www.facebook.com/ads/archive/render_ad/?id=1709077486385980&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-10-13,instagram,1326637425823837, Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Insta,https://www.facebook.com/ads/archive/render_ad/?id=1326637425823837&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-10-09,instagram,652297727707791,"👀 Une recette sucrée-salée avec des paupiettes de veau @tendriade.officiel ?  👵 Notre grand-mère préférée, Colette, a relevé le défi avec un légume de saison : le potimarron 🤤  Suivez les étapes de préparation et découvrez toutes ses astuces gourmandes ! ❤️   #recette #tendriade #astuces #astucedecu",https://www.facebook.com/ads/archive/render_ad/?id=652297727707791&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-10-01,instagram,1441304836942327, Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Instagram photos and videos | Tendriade | Viande de Veau (@tendriade.officiel) • Insta,https://www.facebook.com/ads/archive/render_ad/?id=1441304836942327&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-09-25,instagram,1114421907545167,"👵 Notre grand-mère préférée Colette a quelques astuces à vous donner 💡😋!   Comment faire aimer les légumes aux enfants ? 🙃 Cachez-les dans des cannellonis, farcis au haché de veau @tendriade.officiel, délice assurée pour les petits et les plus grands ! Suivez la recette en vidéo 👇  #cuisine #recette",https://www.facebook.com/ads/archive/render_ad/?id=1114421907545167&access_token=JETON_RETIRE
@tendriade.officiel,pseudo ecrit tel quel,Tendriade (Bigard / Van Drie),Tendriade,2025-09-23,instagram,1349000499991989,👌 Alliez la tradition de la cuisine française avec les saveurs de la cuisine orientale pour cette recette de paupiettes de veau façon tajine 😋 !  Vous aurez besoin de (pour 3 personnes) :  - 3 paupiettes de veau @tendriade.officiel  - 2 courgettes (1 verte + 1 jaune) - 1 carotte  - 15 dates - 1 oign,https://www.facebook.com/ads/archive/render_ad/?id=1349000499991989&access_token=JETON_RETIRE
paupiettes,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2025-09-23,instagram,1349000499991989,👌 Alliez la tradition de la cuisine française avec les saveurs de la cuisine orientale pour cette recette de paupiettes de veau façon tajine 😋 !  Vous aurez besoin de (pour 3 personnes) :  - 3 paupiettes de veau @tendriade.officiel  - 2 courgettes (1 verte + 1 jaune) - 1 carotte  - 15 dates - 1 oign,https://www.facebook.com/ads/archive/render_ad/?id=1349000499991989&access_token=JETON_RETIRE
paupiettes,vocabulaire de collaboration,Tendriade (Bigard / Van Drie),Tendriade,2025-09-23,facebook,1330440748486736,👌 Alliez la tradition de la cuisine française avec les saveurs de la cuisine orientale pour cette recette de paupiettes de veau façon tajine 😋 !  Vous aurez besoin de (pour 3 personnes) :  - 3 paupiettes de veau Tendriade - 2 courgettes (1 verte + 1 jaune) - 1 carotte  - 15 dates - 1 oignon - 1 boui,https://www.facebook.com/ads/archive/render_ad/?id=1330440748486736&access_token=JETON_RETIRE
